umls_cui,kg_disease_id
C0578870,MONDO_0044212
C1282496,
C0034067,MONDO_0004849
C0032308,MONDO_0005970
C0018671,MONDO_0005586
C1262019,
C4722085,
C0030193,
C0020630,MONDO_0018570
C0040997,MONDO_0008599
C0175167,
C0022735,MONDO_0006823
C0282488,MONDO_0018301
C1632842,
C0036508,MONDO_0006608
C0232495,
C4543165,
C0154301,MONDO_0001198
C0018802,MONDO_0005009
C0003467,MONDO_0011918
C0443072,
C0206728,MONDO_0003304
C0920156,
C0271568,MONDO_0009877
C0238198,MONDO_0011719
C0014752,MONDO_0002885
C0854248,MONDO_0041850
C2585945,
C0007131,MONDO_0005233
C0024299,MONDO_0005062
C4708695,
C1384589,
C0038157,
C0011616,MONDO_0005480
C0013922,
C0010346,MONDO_0005011
C4076057,
C0036202,MONDO_0019338
C0221074,MONDO_0005929
C1263758,
C0020651,MONDO_0005469
C0021775,MONDO_0005295
C0006277,MONDO_0003781
C0153601,MONDO_0001325
C0577709,
C0279543,MONDO_0011996
C0041408,MONDO_0019499
C3888018,MONDO_0017182
C0343532,MONDO_0020544
C1142132,
C1961835,MONDO_0009265
C1827266,
C0002736,MONDO_0004976
C0009186,MONDO_0005706
C0234925,
C0034362,MONDO_0019186
C0349531,
C0278996,MONDO_0005627
C0031154,MONDO_1010128
C0152081,MONDO_0022205
C0700053,
C0423673,
C0153240,MONDO_0040925
C0029438,MONDO_0007414
C0023968,MONDO_0016566
C1857854,MONDO_0012335
C0042870,MONDO_0100471
C0343500,
C0343833,MONDO_0042452
C0151723,MONDO_0018100
C0339293,
C0018099,MONDO_0005393
C0016665,
C0030409,MONDO_0005894
C0020621,
C0038002,
C0949022,MONDO_0006519
C0026705,MONDO_0010674
C0085656,
C0003969,
C0413645,
C0392445,
C0019080,
C2242472,
C0015652,MONDO_0004668
C0035854,MONDO_0006604
C0002831,MONDO_0005645
C0001144,
C0017418,
C3887486,
C0751122,MONDO_0100135
C1265175,
C0085631,
C0020479,MONDO_0018473
C0022671,
C0006852,
C0025202,MONDO_0005105
C0234978,MONDO_0041284
C2936781,MONDO_0008055
C1278797,
C0017536,MONDO_0001103
C0549315,
C4538570,MONDO_0009174
C0162836,MONDO_0006559
C2887091,
C0020459,MONDO_0002177
C0553604,MONDO_0016120
C0149725,
C0221032,MONDO_0006536
C0005743,MONDO_0002307
C0850666,
C0153193,MONDO_0001125
C0270850,MONDO_0005579
C1719906,
C0030785,
C0155264,MONDO_0001509
C0158945,
C0020538,MONDO_0005044
C0238052,MONDO_0008948
C0010032,
C0085159,MONDO_0000694
C1527336,MONDO_0010030
C0030201,
C0149782,MONDO_0005097
C0001403,MONDO_0015129
C0458960,
C0005586,MONDO_0004985
C0030757,MONDO_0003471
C0393764,
C0406317,
C1291564,MONDO_0012084
C2062473,
C0085253,MONDO_0019355
C0155814,MONDO_0041366
C0694549,
C0745138,MONDO_1030007
C0202930,
C0423775,MONDO_0024343
C0034012,
C0020437,MONDO_0001566
C0010418,MONDO_0015474
C0152967,
C0878675,MONDO_0018153
C0032768,MONDO_0041052
C4510691,
C1269683,MONDO_0002009
C0024535,MONDO_0005920
C1274321,
C0002792,
C0269658,MONDO_0001072
C0270549,MONDO_0001942
C0412773,
C0340970,
C1096562,MONDO_0024412
C0010308,MONDO_0018612
C0206525,MONDO_0041806
C0021670,MONDO_0024677
C0270458,
C0011849,MONDO_0005015
C0016037,MONDO_0007606
C0042373,MONDO_0005385
C0278678,
C0042376,
C1961099,MONDO_0004963
C0019357,MONDO_0015288
C0020635,MONDO_0005152
C0752166,MONDO_0015229
C0261439,
C0008677,MONDO_0005607
C0039503,MONDO_0004857
C3875286,
C0023343,MONDO_0005124
C0152072,MONDO_0001601
C0236663,MONDO_0005433
C0520679,MONDO_0007147
C2607914,MONDO_0011786
C0392784,
C2894027,
C0242379,MONDO_0008903
C0043515,MONDO_0019610
C0268119,MONDO_0020480
C0033774,
C0024115,MONDO_0005275
C0013604,
C0519030,MONDO_0030602
C0019069,MONDO_0010602
C0080203,
C4288754,
C0014175,MONDO_0005133
C0085096,MONDO_0005294
C0038003,
C0268108,
C0041473,MONDO_0019362
C0153579,MONDO_0002158
C0030421,MONDO_0000448
C0026857,MONDO_0002081
C1367654,MONDO_0017604
C0206754,MONDO_0019496
C0232335,
C0572583,
C1282512,
C4305467,
C3874358,
C0153685,
C0267055,
C3889038,
C0151908,
C0152499,
