dc_disease_name,onto_name,onto_id,similarity,match_type
Acute monocytic/monoblastic leukemia,acute lymphoblastic leukemia,EFO_0000220,78.125,fuzzy
Essential hypertension,essential hypertension,MONDO_0001134,100.0,exact
Diabetes mellitus type 1,type 1 diabetes mellitus,MONDO_0005147,100.0,fuzzy
Calculus in biliary tract,biliary tract cancer,MONDO_0003060,75.55555555555556,fuzzy
Neonatal diabetes mellitus,diabetes mellitus,EFO_0000400,79.06976744186046,fuzzy
Renal tubular acidosis,renal tubular dysgenesis,MONDO_0017609,78.26086956521739,fuzzy
Myotonic disorder,dystonic disorder,MONDO_0003441,88.23529411764706,fuzzy
Follicular lymphoma,follicular lymphoma,MONDO_0018906,100.0,exact
Peptic reflux disease,peptic ulcer disease,MONDO_0004247,78.04878048780488,fuzzy
Hypoalphalipoproteinemia,hypobetalipoproteinemia,MONDO_0017774,85.1063829787234,fuzzy
Neoplasm of prostate,prostate neoplasm,MONDO_0021259,91.89189189189189,fuzzy
Breast cancer,breast cancer,MONDO_0007254,100.0,exact
Adenosine deaminase deficiency,deficiency of adenosine deaminase 2,MONDO_0014306,92.3076923076923,fuzzy
Urinary bladder stone,urinary bladder cancer,MONDO_0001187,83.72093023255813,fuzzy
Cerebrovascular accident,cerebrovascular accident,EFO_0000712,100.0,exact
Relapsed acute myeloid leukemia,acute myeloid leukemia,EFO_0000222,83.01886792452831,fuzzy
Refractory acute myeloid leukemia,acute myeloid leukemia,EFO_0000222,80.0,fuzzy
Familial type 3 hyperlipoproteinemia,familial hypobetalipoproteinemia 1,MONDO_0014252,82.85714285714285,fuzzy
Familial hypercholesterolemia - homozygous,homozygous familial hypercholesterolemia,MONDO_0018328,97.5609756097561,fuzzy
Prevention of venous thromboembolism,venous thromboembolism,EFO_0004286,75.86206896551724,fuzzy
Alzheimer's disease,Alzheimer disease,MONDO_0004975,94.44444444444444,fuzzy
Liver transplant rejection,liver transplant,EFO_0010682,76.19047619047619,fuzzy
Pulmonary hypertension,pulmonary hypertension,MONDO_0005149,100.0,exact
Pulmonary arterial hypertension,pulmonary hypertension,MONDO_0005149,83.01886792452831,fuzzy
Amyotrophic lateral sclerosis,amyotrophic lateral sclerosis,MONDO_0004976,100.0,exact
Factor VII deficiency,factor VII deficiency,MONDO_0002244,100.0,exact
COVID-19,COVID-19,MONDO_0100096,100.0,exact
Ischemic stroke,Ischemic stroke,HP_0002140,100.0,exact
Orthostatic hypotension,orthostatic hypotension 1,MONDO_0009123,95.83333333333334,fuzzy
Homocystinuria,cystinuria,MONDO_0009067,83.33333333333334,fuzzy
Essential thrombocythemia,thrombocythemia 2,MONDO_0011173,76.19047619047619,fuzzy
Disorder due to type 2 diabetes mellitus,type 2 diabetes mellitus,MONDO_0005148,75.0,fuzzy
Diabetes mellitus,diabetes mellitus,EFO_0000400,100.0,exact
Factor II deficiency,factor VII deficiency,MONDO_0002244,97.5609756097561,fuzzy
Gastrointestinal stromal tumor,gastrointestinal stromal tumor,MONDO_0011719,100.0,exact
Echocardiography,electrocardiography,EFO_0004327,85.71428571428572,fuzzy
Sitosterolemia,sitosterolemia 2,MONDO_0020748,93.33333333333333,fuzzy
"Niemann-Pick disease, type C","Niemann-Pick disease, type C2",MONDO_0011873,98.24561403508771,fuzzy
Secondary malignant neoplasm of colon,malignant colon neoplasm,MONDO_0021063,78.68852459016394,fuzzy
Malignant neoplasm of breast,malignant endocrine neoplasm,MONDO_0021069,75.0,fuzzy
Chronic myelomonocytic leukemia,chronic myelogenous leukemia,EFO_0000339,81.35593220338984,fuzzy
Central neuropathic pain,neuropathic pain,EFO_0005762,80.0,fuzzy
T-cell acute lymphoblastic leukemia,acute lymphoblastic leukemia,EFO_0000220,88.88888888888889,fuzzy
Hyponatremia,Hyponatremia,HP_0002902,100.0,exact
Paroxysmal nocturnal hemoglobinuria,paroxysmal nocturnal hemoglobinuria 1,MONDO_0010438,97.22222222222221,fuzzy
Venous thromboembolic disease,venous thromboembolism,EFO_0004286,78.43137254901961,fuzzy
Familial hypercholesterolemia,homozygous familial hypercholesterolemia,MONDO_0018328,84.05797101449275,fuzzy
Adolescent males with hypogonadotropic hypogonadism,hypogonadotropic hypogonadism 24 without anosmia,MONDO_0009239,76.76767676767678,fuzzy
Hyperammonemia associated with N-acetylglutamate synthase deficiency,hyperammonemia due to N-acetylglutamate synthase deficiency,MONDO_0009377,85.03937007874016,fuzzy
Idiopathic pulmonary fibrosis,idiopathic pulmonary fibrosis,EFO_0000768,100.0,exact
HER2negative breast cancer,Hereditary breast cancer,Orphanet_227535,76.0,fuzzy
Medullary thyroid carcinoma,medullary thyroid gland carcinoma,MONDO_0015277,90.0,fuzzy
Relapse multiple myeloma,multiple myeloma,EFO_0001378,80.0,fuzzy
Veno-occlusive disease of the liver,hepatic veno-occlusive disease,MONDO_0019514,76.92307692307692,fuzzy
Hyperphosphatemia,hypophosphatemia,MONDO_0000313,90.9090909090909,fuzzy
Factor VIII deficiency,factor VII deficiency,MONDO_0002244,97.67441860465115,fuzzy
Duchenne muscular dystrophy,Duchenne muscular dystrophy,MONDO_0010679,100.0,exact
